"filename", "language", "Go", "Markdown", "comment", "blank", "total"
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\doc.go", "Go", 1, 0, 17, 3, 21
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\latest\latest.go", "Go", 18, 0, 21, 5, 44
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\register.go", "Go", 24, 0, 20, 7, 51
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\scheme\scheme.go", "Go", 24, 0, 18, 7, 49
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\scheme\scheme_test.go", "Go", 1205, 0, 21, 6, 1232
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\testing\config.go", "Go", 27, 0, 17, 8, 52
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\testing\defaults\defaults.go", "Go", 276, 0, 39, 8, 323
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\types.go", "Go", 116, 0, 163, 45, 324
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\types_pluginargs.go", "Go", 65, 0, 113, 37, 215
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\types_test.go", "Go", 44, 0, 15, 5, 64
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\conversion.go", "Go", 75, 0, 23, 10, 108
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\default_plugins.go", "Go", 147, 0, 26, 11, 184
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\default_plugins_test.go", "Go", 356, 0, 15, 9, 380
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\defaults.go", "Go", 184, 0, 35, 26, 245
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\defaults_test.go", "Go", 629, 0, 15, 8, 652
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\doc.go", "Go", 1, 0, 21, 3, 25
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\register.go", "Go", 13, 0, 23, 7, 43
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\zz_generated.conversion.go", "Go", 807, 0, 58, 86, 951
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\zz_generated.deepcopy.go", "Go", 1, 0, 18, 4, 23
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta2\zz_generated.defaults.go", "Go", 40, 0, 21, 13, 74
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\conversion.go", "Go", 75, 0, 23, 10, 108
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\default_plugins.go", "Go", 96, 0, 28, 12, 136
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\default_plugins_test.go", "Go", 500, 0, 15, 9, 524
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\defaults.go", "Go", 186, 0, 35, 25, 246
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\defaults_test.go", "Go", 624, 0, 15, 8, 647
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\doc.go", "Go", 1, 0, 21, 3, 25
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\register.go", "Go", 13, 0, 23, 7, 43
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\zz_generated.conversion.go", "Go", 795, 0, 60, 86, 941
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\zz_generated.deepcopy.go", "Go", 1, 0, 18, 4, 23
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\v1beta3\zz_generated.defaults.go", "Go", 40, 0, 21, 13, 74
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\validation\validation.go", "Go", 274, 0, 26, 21, 321
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\validation\validation_pluginargs.go", "Go", 249, 0, 34, 36, 319
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\validation\validation_pluginargs_test.go", "Go", 1110, 0, 15, 24, 1149
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\validation\validation_test.go", "Go", 513, 0, 15, 50, 578
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\apis\config\zz_generated.deepcopy.go", "Go", 433, 0, 66, 53, 552
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\eventhandlers.go", "Go", 416, 0, 73, 41, 530
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\eventhandlers_test.go", "Go", 473, 0, 17, 30, 520
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\extender.go", "Go", 380, 0, 51, 44, 475
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\extender_test.go", "Go", 471, 0, 28, 15, 514
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\cycle_state.go", "Go", 55, 0, 41, 15, 111
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\cycle_state_test.go", "Go", 110, 0, 20, 22, 152
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\extender.go", "Go", 20, 0, 41, 12, 73
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\fake\listers.go", "Go", 208, 0, 53, 56, 317
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\interface.go", "Go", 328, 0, 304, 99, 731
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\interface_test.go", "Go", 272, 0, 16, 20, 308
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\listers.go", "Go", 14, 0, 24, 5, 43
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\parallelize\error_channel.go", "Go", 28, 0, 24, 8, 60
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\parallelize\error_channel_test.go", "Go", 25, 0, 15, 8, 48
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\parallelize\parallelism.go", "Go", 25, 0, 22, 10, 57
"d:\Project\Github_open_source\cloud_natinve\kubernetes-master\pkg\scheduler\framework\parallelize\parallelism_test.go", "Go", 35, 0, 15, 5, 55
